numberIndependentVariables,"""=""",3.0,,,,,,
-10.0,4.0,-5.0,-0.08750,-0.0763,0.34900,-0.00846,0.00800,0.01210
-10.0,4.0,0.0,-0.06030,-0.0764,0.06100,-0.00702,0.04300,0.01298
-10.0,4.0,5.0,-0.01670,-0.0819,-0.29100,-0.00862,0.05100,0.01416
-10.0,4.0,10.0,0.04090,-0.0786,-0.64600,-0.01394,0.05300,0.01406
-10.0,4.0,15.0,0.10270,-0.077,-0.97800,-0.01860,0.07000,0.01362
-10.0,4.0,20.0,0.13380,-0.0558,-1.28900,-0.01782,0.06600,0.00492
-10.0,4.0,25.0,0.14430,-0.0677,-1.59500,-0.01686,0.04700,0.00716
-10.0,4.0,30.0,0.16430,-0.0647,-1.85600,-0.01204,0.04800,-0.00338
-10.0,4.0,35.0,0.18040,-0.0513,-2.07500,0.00054,0.02500,-0.01530
-10.0,4.0,40.0,0.17710,-0.0484,-2.19400,-0.01116,-0.02200,-0.01276
-10.0,4.0,45.0,0.16530,-0.1048,-2.30400,-0.00976,-0.05800,-0.03674
-10.0,4.0,50.0,0.15470,-0.0791,-2.13100,-0.00998,-0.04550,-0.02322
-10.0,4.0,55.0,0.13610,-0.0718,-1.97200,-0.01006,-0.05530,-0.00956
-10.0,4.0,60.0,0.13200,-0.0571,-1.91400,-0.00526,-0.10450,0.00846
-10.0,4.0,70.0,0.12630,-0.03,-1.83500,-0.00822,-0.30010,0.01438
-10.0,4.0,80.0,0.11950,-0.0361,-1.85600,-0.00816,-0.41850,0.00500
-10.0,4.0,90.0,0.12560,-0.0418,-2.00400,-0.00054,-0.56180,-0.00342
-10.0,6.0,-20.0,-0.12520,-0.0747,1.26800,-0.01344,0.08210,0.00058
-10.0,6.0,-15.0,-0.11820,-0.0681,1.05100,-0.01064,0.04810,0.00950
-10.0,6.0,-10.0,-0.10770,-0.0792,0.80400,-0.00898,0.02800,0.01552
-10.0,6.0,-5.0,-0.08590,-0.1177,0.34300,-0.01248,0.01000,0.02040
-10.0,6.0,0.0,-0.05950,-0.1191,0.05800,-0.01098,0.03700,0.02182
-10.0,6.0,5.0,-0.01560,-0.1233,-0.28900,-0.01308,0.05100,0.02226
-10.0,6.0,10.0,0.04150,-0.1204,-0.64200,-0.02118,0.05200,0.02340
-10.0,6.0,15.0,0.10180,-0.12,-0.97700,-0.02848,0.07000,0.02350
-10.0,6.0,20.0,0.13430,-0.0984,-1.28700,-0.02798,0.06200,0.01308
-10.0,6.0,25.0,0.14570,-0.1028,-1.59500,-0.02600,0.04400,0.01222
-10.0,6.0,30.0,0.16240,-0.0906,-1.83600,-0.01630,0.04500,-0.00354
-10.0,6.0,35.0,0.17820,-0.0806,-2.06700,-0.00120,0.01200,-0.01834
-10.0,6.0,40.0,0.17100,-0.0664,-2.08400,-0.01278,-0.04400,-0.02228
-10.0,6.0,45.0,0.16290,-0.1365,-2.24200,-0.01384,-0.07200,-0.04528
-10.0,6.0,50.0,0.15600,-0.106,-2.14200,-0.01272,-0.05420,-0.03894
-10.0,6.0,55.0,0.13700,-0.1065,-2.01600,-0.01502,-0.06020,-0.02132
-10.0,6.0,60.0,0.13870,-0.084,-1.95600,-0.01046,-0.12470,-0.00146
-10.0,6.0,70.0,0.12700,-0.0477,-1.92500,-0.01292,-0.28680,0.01530
-10.0,6.0,80.0,0.12250,-0.0655,-1.94300,-0.01300,-0.42680,-0.00414
-10.0,6.0,90.0,0.12560,-0.0611,-2.03600,-0.00746,-0.56800,-0.00578
-10.0,8.0,-20.0,-0.12570,-0.1078,1.26500,-0.01724,0.08470,0.00534
-10.0,8.0,-15.0,-0.11780,-0.1004,1.04000,-0.01164,0.04990,0.01684
-10.0,8.0,-10.0,-0.10630,-0.1171,0.80000,-0.01090,0.03110,0.02306
-10.0,8.0,-5.0,-0.08420,-0.1575,0.33700,-0.01544,0.01100,0.02942
-10.0,8.0,0.0,-0.05770,-0.1674,0.05300,-0.01486,0.03800,0.03152
-10.0,8.0,5.0,-0.01410,-0.1705,-0.29100,-0.01790,0.05100,0.03214
-10.0,8.0,10.0,0.04140,-0.1668,-0.63800,-0.02724,0.05200,0.03228
-10.0,8.0,15.0,0.10080,-0.1642,-0.96300,-0.03682,0.06800,0.03220
-10.0,8.0,20.0,0.13100,-0.1366,-1.27900,-0.03666,0.05500,0.02042
-10.0,8.0,25.0,0.14420,-0.1369,-1.58400,-0.03368,0.04300,0.01824
-10.0,8.0,30.0,0.16150,-0.1159,-1.81600,-0.02006,0.04000,-0.00378
-10.0,8.0,35.0,0.17490,-0.0971,-2.03400,0.00018,0.01300,-0.02382
-10.0,8.0,40.0,0.17020,-0.0958,-2.11000,-0.01470,-0.03800,-0.03302
-10.0,8.0,45.0,0.15970,-0.1541,-2.23500,-0.01476,-0.07500,-0.05710
-10.0,8.0,50.0,0.15380,-0.1177,-2.06200,-0.01952,-0.05940,-0.05212
-10.0,8.0,55.0,0.14050,-0.1225,-2.01900,-0.02242,-0.04240,-0.02694
-10.0,8.0,60.0,0.13230,-0.1047,-1.99800,-0.01506,-0.12640,-0.00938
-10.0,8.0,70.0,0.12810,-0.0715,-1.99300,-0.01602,-0.30760,0.01028
-10.0,8.0,80.0,0.12040,-0.0804,-1.94700,-0.01578,-0.42310,-0.00690
-10.0,8.0,90.0,0.12970,-0.0836,-2.10200,-0.01352,-0.58780,-0.00676
-10.0,10.0,-20.0,-0.12820,-0.1421,1.23600,-0.02006,0.09650,0.01054
-10.0,10.0,-15.0,-0.11840,-0.1317,1.05300,-0.01452,0.05240,0.02228
-10.0,10.0,-10.0,-0.10690,-0.1542,0.79700,-0.01244,0.03570,0.03092
-10.0,10.0,-5.0,-0.08120,-0.2072,0.32800,-0.01868,0.01200,0.03956
-10.0,10.0,0.0,-0.05610,-0.2134,0.04700,-0.01840,0.03780,0.04056
-10.0,10.0,5.0,-0.01330,-0.2173,-0.29300,-0.02174,0.05100,0.04058
-10.0,10.0,10.0,0.04120,-0.2171,-0.63500,-0.03304,0.05100,0.04126
-10.0,10.0,15.0,0.09830,-0.2056,-0.95100,-0.04312,0.06300,0.03912
-10.0,10.0,20.0,0.12980,-0.1729,-1.26600,-0.04432,0.05200,0.02616
-10.0,10.0,25.0,0.14390,-0.1692,-1.56600,-0.04062,0.04300,0.02176
-10.0,10.0,30.0,0.15930,-0.1353,-1.79500,-0.02388,0.03300,-0.00574
-10.0,10.0,35.0,0.16750,-0.1022,-1.98900,0.00466,0.00300,-0.03794
-10.0,10.0,40.0,0.16590,-0.1075,-2.11100,-0.01408,-0.04100,-0.04608
-10.0,10.0,45.0,0.15690,-0.183,-2.21000,-0.01948,-0.08100,-0.06956
-10.0,10.0,50.0,0.15440,-0.1508,-2.19200,-0.02132,-0.05150,-0.06440
-10.0,10.0,55.0,0.14310,-0.1468,-2.02500,-0.01898,-0.03190,-0.02768
-10.0,10.0,60.0,0.13100,-0.1242,-1.98500,-0.01692,-0.14140,-0.00998
-10.0,10.0,70.0,0.12680,-0.0859,-1.92100,-0.02008,-0.31240,0.00426
-10.0,10.0,80.0,0.11770,-0.1027,-1.84800,-0.01876,-0.41750,-0.00666
-10.0,10.0,90.0,0.12570,-0.1068,-2.00300,-0.01688,-0.57020,-0.00692
-10.0,15.0,-20.0,-0.12940,-0.2221,1.19600,-0.01504,0.12400,0.03186
-10.0,15.0,-15.0,-0.12160,-0.193,1.05100,-0.01940,0.08230,0.03192
-10.0,15.0,-10.0,-0.10790,-0.2482,0.77600,-0.01690,0.05850,0.04736
-10.0,15.0,-5.0,-0.07470,-0.3041,0.31700,-0.02078,0.02700,0.05382
-10.0,15.0,0.0,-0.05270,-0.3198,0.03500,-0.02116,0.04300,0.05662
-10.0,15.0,5.0,-0.00930,-0.3257,-0.29200,-0.02746,0.05100,0.05776
-10.0,15.0,10.0,0.03990,-0.3204,-0.62200,-0.04296,0.04300,0.05522
-10.0,15.0,15.0,0.09340,-0.3091,-0.92300,-0.05674,0.05900,0.05166
-10.0,15.0,20.0,0.12210,-0.2479,-1.22000,-0.05582,0.04600,0.02758
-10.0,15.0,25.0,0.14280,-0.2337,-1.50500,-0.05328,0.03400,0.02034
-10.0,15.0,30.0,0.15300,-0.1841,-1.73500,-0.03194,0.01600,-0.01438
-10.0,15.0,35.0,0.15290,-0.1632,-1.89600,-0.00272,-0.02100,-0.05170
-10.0,15.0,40.0,0.15180,-0.1539,-1.99600,-0.01830,-0.04700,-0.07110
-10.0,15.0,45.0,0.14810,-0.194,-2.12100,-0.02806,-0.08500,-0.08682
-10.0,15.0,50.0,0.14690,-0.2201,-2.04700,-0.03362,-0.06930,-0.06216
-10.0,15.0,55.0,0.13000,-0.209,-1.82000,-0.02980,-0.11040,-0.03710
-10.0,15.0,60.0,0.11790,-0.1885,-1.79200,-0.02496,-0.22090,-0.01988
-10.0,15.0,70.0,0.12150,-0.1266,-1.86300,-0.02860,-0.31680,-0.00538
-10.0,15.0,80.0,0.11430,-0.1554,-1.91100,-0.03006,-0.46930,-0.01080
-10.0,15.0,90.0,0.12130,-0.1547,-1.97600,-0.02376,-0.57890,-0.00476
-10.0,20.0,-20.0,-0.13270,-0.2861,1.15400,-0.00560,0.13760,0.04322
-10.0,20.0,-15.0,-0.12430,-0.254,1.03100,-0.01256,0.08910,0.04592
-10.0,20.0,-10.0,-0.10760,-0.3212,0.76900,-0.01124,0.08200,0.05600
-10.0,20.0,-5.0,-0.07220,-0.4001,0.30900,-0.02098,0.03900,0.06878
-10.0,20.0,0.0,-0.05150,-0.4315,0.04900,-0.02216,0.04500,0.07300
-10.0,20.0,5.0,-0.00870,-0.443,-0.27500,-0.03084,0.04900,0.07456
-10.0,20.0,10.0,0.03670,-0.4347,-0.58700,-0.05040,0.04200,0.07034
-10.0,20.0,15.0,0.08870,-0.3966,-0.86400,-0.06248,0.05300,0.05432
-10.0,20.0,20.0,0.12300,-0.328,-1.14600,-0.06660,0.03600,0.02638
-10.0,20.0,25.0,0.14400,-0.3044,-1.44500,-0.06562,0.01900,0.02100
-10.0,20.0,30.0,0.13900,-0.2743,-1.61300,-0.03908,-0.00500,-0.01124
-10.0,20.0,35.0,0.14510,-0.2282,-1.80000,-0.03080,-0.02600,-0.03890
-10.0,20.0,40.0,0.14270,-0.1575,-1.90000,-0.04006,-0.05000,-0.06640
-10.0,20.0,45.0,0.14780,-0.1506,-1.89100,-0.03664,-0.05600,-0.05996
-10.0,20.0,50.0,0.14050,-0.1565,-1.81900,-0.04022,-0.06580,-0.03612
-10.0,20.0,55.0,0.12150,-0.2153,-1.73200,-0.03808,-0.16140,-0.04386
-10.0,20.0,60.0,0.13800,-0.2077,-1.83600,-0.03436,-0.08360,-0.03136
-10.0,20.0,70.0,0.12920,-0.1534,-1.89300,-0.04246,-0.30340,-0.01538
-10.0,20.0,80.0,0.11550,-0.2075,-1.89900,-0.04020,-0.47370,-0.01656
-10.0,20.0,90.0,0.12060,-0.1986,-1.94700,-0.03518,-0.58580,-0.00954
-10.0,25.0,-20.0,-0.12590,-0.3461,1.10900,0.00426,0.14390,0.05276
-10.0,25.0,-15.0,-0.12530,-0.319,0.99900,-0.00150,0.08980,0.05534
-10.0,25.0,-10.0,-0.10740,-0.3842,0.76500,-0.00162,0.07070,0.06540
-10.0,25.0,-5.0,-0.06820,-0.5013,0.29500,-0.01954,0.05800,0.08258
-10.0,25.0,0.0,-0.04920,-0.5369,0.04400,-0.02254,0.05700,0.09048
-10.0,25.0,5.0,-0.01060,-0.5506,-0.24400,-0.03190,0.04300,0.08916
-10.0,25.0,10.0,0.03280,-0.5313,-0.52400,-0.05190,0.03800,0.08046
-10.0,25.0,15.0,0.08000,-0.4868,-0.79000,-0.06666,0.04000,0.06320
-10.0,25.0,20.0,0.12470,-0.4542,-1.09000,-0.07600,0.02000,0.04714
-10.0,25.0,25.0,0.14480,-0.4241,-1.37400,-0.07624,0.00200,0.03962
-10.0,25.0,30.0,0.13540,-0.36,-1.55700,-0.06634,-0.02400,0.00634
-10.0,25.0,35.0,0.13060,-0.3141,-1.69600,-0.04714,-0.02000,-0.01512
-10.0,25.0,40.0,0.14740,-0.1807,-1.78700,-0.06650,-0.01300,-0.00428
-10.0,25.0,45.0,0.14470,-0.1951,-1.65400,-0.05964,-0.05100,-0.02820
-10.0,25.0,50.0,0.13930,-0.1679,-1.69500,-0.05312,-0.05880,-0.01834
-10.0,25.0,55.0,0.13310,-0.1709,-1.74900,-0.04684,-0.06350,-0.00464
-10.0,25.0,60.0,0.13850,-0.1719,-1.82900,-0.04308,-0.07670,-0.00196
-10.0,25.0,70.0,0.12810,-0.2078,-1.83600,-0.05350,-0.31820,-0.02480
-10.0,25.0,80.0,0.11800,-0.2495,-1.91300,-0.05172,-0.45750,-0.02220
-10.0,25.0,90.0,0.12330,-0.2474,-2.00600,-0.04650,-0.60030,-0.01362
-10.0,30.0,-20.0,-0.12700,-0.4081,1.06300,0.00878,0.16310,0.04902
-10.0,30.0,-15.0,-0.12240,-0.398,0.95500,0.00906,0.10020,0.05882
-10.0,30.0,-10.0,-0.10260,-0.4382,0.74700,0.00924,0.07520,0.07060
-10.0,30.0,-5.0,-0.06310,-0.5794,0.30600,-0.01406,0.05200,0.09142
-10.0,30.0,0.0,-0.04660,-0.64,0.07600,-0.02020,0.05000,0.10466
-10.0,30.0,5.0,-0.01270,-0.6514,-0.20500,-0.03452,0.05200,0.10774
-10.0,30.0,10.0,0.02680,-0.6371,-0.46300,-0.05206,0.03000,0.10042
-10.0,30.0,15.0,0.07350,-0.61,-0.71700,-0.07228,0.04200,0.08676
-10.0,30.0,20.0,0.11940,-0.5698,-1.00500,-0.08276,0.02200,0.06552
-10.0,30.0,25.0,0.13480,-0.503,-1.30700,-0.08480,0.00500,0.05230
-10.0,30.0,30.0,0.11490,-0.4189,-1.47000,-0.09390,0.02800,0.03888
-10.0,30.0,35.0,0.12270,-0.3488,-1.61300,-0.06488,0.02300,0.01440
-10.0,30.0,40.0,0.13970,-0.2242,-1.70200,-0.07754,0.03300,0.01528
-10.0,30.0,45.0,0.14820,-0.2662,-1.69600,-0.07884,-0.00600,-0.01520
-10.0,30.0,50.0,0.13290,-0.2008,-1.50900,-0.06198,-0.06990,-0.00756
-10.0,30.0,55.0,0.13390,-0.2107,-1.66900,-0.06194,-0.06760,0.00370
-10.0,30.0,60.0,0.13410,-0.2099,-1.76000,-0.06110,-0.13310,0.00924
-10.0,30.0,70.0,0.12780,-0.2421,-1.82500,-0.06540,-0.30330,-0.02196
-10.0,30.0,80.0,0.12200,-0.2954,-1.85500,-0.06374,-0.41540,-0.02018
-10.0,30.0,90.0,0.12790,-0.3047,-1.98700,-0.06216,-0.60380,-0.02086
0.0,-30.0,-20.0,-0.1072,0.3677,1.091,-0.0153,0.0978,-0.0551
0.0,-30.0,-15.0,-0.1006,0.4019,0.905,-0.0132,0.056,-0.0561
0.0,-30.0,-10.0,-0.0853,0.4367,0.713,-0.0102,0.0342,-0.0666
0.0,-30.0,-5.0,-0.0546,0.5538,0.265,0.0087,-0.024,-0.0902
0.0,-30.0,0.0,-0.0355,0.6218,-0.006,0.0157,-0.055,-0.1058
0.0,-30.0,5.0,-0.0012,0.6544,-0.275,0.0318,-0.046,-0.1074
0.0,-30.0,10.0,0.0359,0.6255,-0.55,0.051,-0.067,-0.0981
0.0,-30.0,15.0,0.078,0.5885,-0.825,0.0732,-0.067,-0.0812
0.0,-30.0,20.0,0.1183,0.5783,-1.115,0.0895,-0.057,-0.0684
0.0,-30.0,25.0,0.1267,0.5005,-1.375,0.0884,-0.064,-0.0528
0.0,-30.0,30.0,0.0941,0.3751,-1.52,0.082,-0.045,-0.03
0.0,-30.0,35.0,0.0885,0.3292,-1.555,0.079,-0.022,-0.0098
0.0,-30.0,40.0,0.1089,0.447,-1.715,0.0721,0.045,-0.0025
0.0,-30.0,45.0,0.1232,0.1634,-1.625,0.0744,-0.001,-0.0111
0.0,-30.0,50.0,0.1135,0.1366,-1.57,0.0534,-0.009,-0.0256
0.0,-30.0,55.0,0.1137,0.1735,-1.775,0.0587,-0.051,-0.0302
0.0,-30.0,60.0,0.1037,0.2233,-1.9,0.065,-0.183,-0.0188
0.0,-30.0,70.0,0.0857,0.2609,-1.93,0.0663,-0.383,0.0296
0.0,-30.0,80.0,0.0842,0.3055,-2,0.0683,-0.483,0.0264
0.0,-30.0,90.0,0.0847,0.3078,-1.96,0.0701,-0.633,0.0274
0.0,-25.0,-20.0,-0.1061,0.307,1.14,-0.0028,0.0719,-0.0588
0.0,-25.0,-15.0,-0.1035,0.322,0.939,-0.0028,0.0357,-0.0527
0.0,-25.0,-10.0,-0.0901,0.3823,0.718,-0.0013,0.0167,-0.0637
0.0,-25.0,-5.0,-0.0597,0.4778,0.265,0.0153,-0.024,-0.0812
0.0,-25.0,0.0,-0.0381,0.5258,-0.03,0.019,-0.046,-0.0916
0.0,-25.0,5.0,0,0.5514,-0.315,0.0307,-0.064,-0.0916
0.0,-25.0,10.0,0.0491,0.5185,-0.62,0.051,-0.062,-0.0798
0.0,-25.0,15.0,0.0845,0.4665,-0.91,0.0679,-0.077,-0.0592
0.0,-25.0,20.0,0.1236,0.4633,-1.2,0.0815,-0.071,-0.0491
0.0,-25.0,25.0,0.1367,0.4195,-1.44,0.0785,-0.088,-0.0411
0.0,-25.0,30.0,0.1146,0.3161,-1.615,0.0505,-0.105,0.0002
0.0,-25.0,35.0,0.0964,0.2952,-1.665,0.061,-0.072,0.0168
0.0,-25.0,40.0,0.1166,0.3885,-1.83,0.0573,0.005,0.0054
0.0,-25.0,45.0,0.1197,0.0894,-1.57,0.0576,-0.052,0.001
0.0,-25.0,50.0,0.1185,0.1036,-1.735,0.0411,-0.013,-0.0136
0.0,-25.0,55.0,0.1195,0.1355,-1.9,0.0422,-0.018,-0.0228
0.0,-25.0,60.0,0.109,0.1713,-1.935,0.0481,-0.148,-0.0075
0.0,-25.0,70.0,0.0858,0.2279,-1.945,0.0538,-0.398,0.0316
0.0,-25.0,80.0,0.0807,0.2595,-2.045,0.0554,-0.518,0.0351
0.0,-25.0,90.0,0.0813,0.2498,-1.95,0.0534,-0.63,0.0128
0.0,-20.0,-20.0,-0.1129,0.246,1.203,0.0091,0.0621,-0.0496
0.0,-20.0,-15.0,-0.1025,0.2651,0.959,0.0077,0.0264,-0.0456
0.0,-20.0,-10.0,-0.0903,0.3185,0.706,0.0094,0.0194,-0.0545
0.0,-20.0,-5.0,-0.0637,0.3758,0.27,0.0186,-0.039,-0.0664
0.0,-20.0,0.0,-0.0404,0.4208,-0.05,0.0199,-0.059,-0.0749
0.0,-20.0,5.0,0.001,0.4294,-0.345,0.0296,-0.055,-0.0754
0.0,-20.0,10.0,0.0458,0.4225,-0.67,0.0496,-0.056,-0.0718
0.0,-20.0,15.0,0.0932,0.3755,-0.98,0.0638,-0.068,-0.0537
0.0,-20.0,20.0,0.1219,0.3383,-1.28,0.0692,-0.062,-0.029
0.0,-20.0,25.0,0.1359,0.3005,-1.51,0.0665,-0.077,-0.0223
0.0,-20.0,30.0,0.1182,0.2291,-1.71,0.0234,-0.092,0.0115
0.0,-20.0,35.0,0.1109,0.2112,-1.77,0.039,-0.092,0.0392
0.0,-20.0,40.0,0.1119,0.3025,-1.945,0.0302,-0.052,0.0683
0.0,-20.0,45.0,0.1228,0.0444,-1.785,0.0331,-0.06,0.0294
0.0,-20.0,50.0,0.1184,0.0916,-1.9,0.0262,-0.017,0.0058
0.0,-20.0,55.0,0.1146,0.1795,-1.97,0.032,-0.065,0.013
0.0,-20.0,60.0,0.1094,0.2083,-1.96,0.0387,-0.173,0.0211
0.0,-20.0,70.0,0.0857,0.1739,-1.94,0.0422,-0.382,0.021
0.0,-20.0,80.0,0.0787,0.2165,-2.075,0.043,-0.528,0.0254
0.0,-20.0,90.0,0.0798,0.1998,-1.9,0.041,-0.616,0.0118
0.0,-15.0,-20.0,-0.1096,0.1844,1.215,0.0188,0.043,-0.0406
0.0,-15.0,-15.0,-0.0998,0.1964,0.98,0.01453,0.0163,-0.0333
0.0,-15.0,-10.0,-0.0906,0.2462,0.711,0.0134,-0.0089,-0.0468
0.0,-15.0,-5.0,-0.0662,0.2818,0.275,0.0194,-0.055,-0.0523
0.0,-15.0,0.0,-0.0416,0.3088,-0.05,0.0207,-0.064,-0.0578
0.0,-15.0,5.0,0.0004,0.3124,-0.36,0.0272,-0.052,-0.0587
0.0,-15.0,10.0,0.049,0.3065,-0.705,0.0422,-0.053,-0.0568
0.0,-15.0,15.0,0.0979,0.2875,-1.035,0.0574,-0.059,-0.0513
0.0,-15.0,20.0,0.121,0.2563,-1.34,0.0579,-0.052,-0.0321
0.0,-15.0,25.0,0.1347,0.2295,-1.575,0.0536,-0.067,-0.0229
0.0,-15.0,30.0,0.1322,0.1411,-1.81,0.0143,-0.092,0.0164
0.0,-15.0,35.0,0.1187,0.1472,-1.885,0.0095,-0.088,0.0514
0.0,-15.0,40.0,0.121,0.2135,-2.065,0.0087,-0.061,0.0744
0.0,-15.0,45.0,0.1231,0.0894,-2,0.0248,-0.092,0.0612
0.0,-15.0,50.0,0.1171,0.1556,-2.05,0.0238,-0.035,0.0287
0.0,-15.0,55.0,0.1161,0.1725,-2.055,0.0261,-0.053,0.014
0.0,-15.0,60.0,0.1049,0.1883,-1.995,0.0301,-0.172,0.008
0.0,-15.0,70.0,0.0796,0.1469,-1.92,0.0307,-0.387,0.0092
0.0,-15.0,80.0,0.0778,0.1635,-2.08,0.0325,-0.506,0.018
0.0,-15.0,90.0,0.0824,0.1568,-2.01,0.0293,-0.616,0.0059
0.0,-10.0,-20.0,-0.1084,0.1062,1.239,0.0234,0.0054,-0.0219
0.0,-10.0,-15.0,-0.0966,0.1332,0.967,0.0104,-0.024,-0.0248
0.0,-10.0,-10.0,-0.0896,0.1513,0.705,0.0107,-0.041,-0.0297
0.0,-10.0,-5.0,-0.0727,0.1833,0.288,0.0183,-0.0758,-0.0366
0.0,-10.0,0.0,-0.045,0.2014,-0.036,0.0185,-0.066,-0.0413
0.0,-10.0,5.0,-0.0036,0.2028,-0.359,0.0219,-0.0514,-0.0415
0.0,-10.0,10.0,0.0503,0.2016,-0.719,0.0328,-0.0495,-0.0416
0.0,-10.0,15.0,0.1028,0.1837,-1.069,0.0433,-0.0536,-0.0375
0.0,-10.0,20.0,0.1287,0.1814,-1.379,0.0453,-0.0478,-0.0308
0.0,-10.0,25.0,0.1358,0.1643,-1.626,0.04,-0.0548,-0.024
0.0,-10.0,30.0,0.1385,0.0927,-1.91,0.0064,-0.0782,0.0091
0.0,-10.0,35.0,0.1333,0.0857,-1.998,0.0037,-0.0738,0.0396
0.0,-10.0,40.0,0.1351,0.0748,-2.188,0.005,-0.0662,0.0506
0.0,-10.0,45.0,0.1319,0.0782,-2.178,0.017,-0.0927,0.0451
0.0,-10.0,50.0,0.1243,0.0866,-2.165,0.0147,-0.078,0.0254
0.0,-10.0,55.0,0.1209,0.1104,-2.176,0.0176,-0.0477,0.004
0.0,-10.0,60.0,0.1109,0.123,-2.128,0.0229,-0.1512,-0.0061
0.0,-10.0,70.0,0.0851,0.1074,-1.929,0.0245,-0.3869,0.0003
0.0,-10.0,80.0,0.0791,0.1096,-2.045,0.0208,-0.485,0.0133
0.0,-10.0,90.0,0.0843,0.1089,-2.06,0.0205,-0.6067,0.0051
0.0,-8.0,-20.0,-0.104,0.085,1.201,0.0173,-0.0023,-0.0145
0.0,-8.0,-15.0,-0.0966,0.1039,0.96,0.0084,-0.0372,-0.0179
0.0,-8.0,-10.0,-0.0903,0.1156,0.699,0.0102,-0.051,-0.0233
0.0,-8.0,-5.0,-0.0755,0.1449,0.305,0.0156,-0.0773,-0.0277
0.0,-8.0,0.0,-0.0461,0.1553,-0.035,0.0153,-0.066,-0.0317
0.0,-8.0,5.0,-0.0042,0.1607,-0.364,0.018,-0.0507,-0.0329
0.0,-8.0,10.0,0.0508,0.1597,-0.727,0.0271,-0.0484,-0.0326
0.0,-8.0,15.0,0.1051,0.1473,-1.089,0.0357,-0.0514,-0.0301
0.0,-8.0,20.0,0.1308,0.1504,-1.405,0.0354,-0.0518,-0.0262
0.0,-8.0,25.0,0.1378,0.1409,-1.635,0.0326,-0.0539,-0.0188
0.0,-8.0,30.0,0.1504,0.1057,-1.977,0.0189,-0.0608,-0.0037
0.0,-8.0,35.0,0.1391,0.0581,-2.073,0.0029,-0.0639,0.034
0.0,-8.0,40.0,0.1376,0.0531,-2.183,0.0104,-0.0729,0.0351
0.0,-8.0,45.0,0.1324,0.0612,-2.272,0.0179,-0.0861,0.0369
0.0,-8.0,50.0,0.1279,0.0785,-2.254,0.0144,-0.0713,0.0231
0.0,-8.0,55.0,0.1211,0.0926,-2.184,0.0151,-0.052,0.0027
0.0,-8.0,60.0,0.1123,0.1051,-2.111,0.0192,-0.1428,-0.01
0.0,-8.0,70.0,0.0919,0.0941,-2.021,0.022,-0.3637,-0.0062
0.0,-8.0,80.0,0.0793,0.0871,-1.994,0.0149,-0.4785,0.0126
0.0,-8.0,90.0,0.0843,0.0843,-2.158,0.0188,-0.6366,0.0044
0.0,-6.0,-20.0,-0.0978,0.0677,1.171,0.0106,-0.0006,-0.0075
0.0,-6.0,-15.0,-0.096,0.0753,0.954,0.006,-0.0472,-0.0127
0.0,-6.0,-10.0,-0.0907,0.076,0.696,0.0081,-0.0608,-0.0145
0.0,-6.0,-5.0,-0.0767,0.1055,0.306,0.0125,-0.0802,-0.0194
0.0,-6.0,0.0,-0.0469,0.1138,-0.028,0.011,-0.0639,-0.0226
0.0,-6.0,5.0,-0.0049,0.1133,-0.362,0.0132,-0.0509,-0.0227
0.0,-6.0,10.0,0.0499,0.1131,-0.737,0.0207,-0.0467,-0.0232
0.0,-6.0,15.0,0.1069,0.1069,-1.105,0.0274,-0.0489,-0.0212
0.0,-6.0,20.0,0.1311,0.1116,-1.421,0.027,-0.0498,-0.0179
0.0,-6.0,25.0,0.1378,0.1029,-1.65,0.0254,-0.053,-0.0129
0.0,-6.0,30.0,0.154,0.0911,-1.997,0.0196,-0.0529,-0.0024
0.0,-6.0,35.0,0.1532,0.0651,-2.152,0.015,-0.0594,0.0163
0.0,-6.0,40.0,0.1479,0.0303,-2.301,0.0174,-0.0739,0.0207
0.0,-6.0,45.0,0.1308,0.0458,-2.21,0.0163,-0.1056,0.0293
0.0,-6.0,50.0,0.1279,0.0555,-2.288,0.013,-0.0774,0.0233
0.0,-6.0,55.0,0.1211,0.0663,-2.223,0.0117,-0.0583,-0.0023
0.0,-6.0,60.0,0.1181,0.0788,-2.173,0.0155,-0.1118,-0.0174
0.0,-6.0,70.0,0.115,0.0765,-2.161,0.016,-0.2706,-0.0128
0.0,-6.0,80.0,0.0805,0.0753,-2.048,0.0126,-0.4804,0.0107
0.0,-6.0,90.0,0.0853,0.0658,-2.112,0.0163,-0.6053,0.0031
0.0,-4.0,-20.0,-0.0959,0.038,1.157,0.009,0.0062,-0.0012
0.0,-4.0,-15.0,-0.0967,0.0442,0.951,0.0039,-0.059,-0.0057
0.0,-4.0,-10.0,-0.0918,0.0434,0.687,0.006,-0.07,-0.0079
0.0,-4.0,-5.0,-0.0778,0.0662,0.311,0.0088,-0.0802,-0.0117
0.0,-4.0,0.0,-0.0478,0.0726,-0.027,0.0071,-0.0615,-0.0138
0.0,-4.0,5.0,-0.0055,0.0767,-0.368,0.0089,-0.0501,-0.0145
0.0,-4.0,10.0,0.0509,0.0748,-0.741,0.0139,-0.0457,-0.0146
0.0,-4.0,15.0,0.1079,0.0652,-1.111,0.0187,-0.0456,-0.0121
0.0,-4.0,20.0,0.131,0.0703,-1.431,0.0171,-0.0463,-0.0102
0.0,-4.0,25.0,0.1346,0.0654,-1.655,0.0181,-0.052,-0.0072
